========================================================================
 CALLIOPE DIAGNOSTIC · ERA I GATE                   size 512 · 300y leg · seed 12345
========================================================================
 composing ../.reports.run.21059

 lane                          pass  warn  fail     age
 assay.txt                        1     0     0    0.0h
 atlas.txt                       13     0     0    0.0h
 bench.txt                        4     1     0    0.1h
 browser.txt                      7     0     0    0.0h
 build.txt                        0     1     0    0.1h
 civ-12345.txt                   79     4     0    0.1h
 civ-777.txt                     80     3     0    0.1h
 climate-12345.txt               27     1     0    0.1h
 climate-777.txt                 26     2     0    0.1h
 climate-90210.txt               27     1     0    0.1h
 climate-variance.txt            74     0     0    0.1h
 coastjs.txt                      4     0     0    0.0h
 compile.txt                      1     0     0    0.0h
 compute.txt                      6     1     0    0.0h
 determinism.txt                  3     0     0    0.1h
 earth-wasm.txt                   2     0     0    0.0h
 earth.txt                       51     0     0    0.0h
 economy-12345.txt               46     1     0    0.1h
 era.txt                          8     1     0    0.1h
 hydro-12345.txt                 24     1     0    0.1h
 hydro-777.txt                   24     1     0    0.1h
 hydro-90210.txt                 24     1     0    0.1h
 moddag.txt                       1     0     0    0.0h
 ocean-meta.txt                   9     0     0    0.0h
 ocean.txt                       15     0     0    0.0h
 oscillation.txt                 73     0     0    0.1h
 patina.txt                       9     1     0    0.0h
 perf.txt                         9     4     0    0.1h
 properties.txt                  72     6     0    0.1h
 resources-12345.txt             32     0     0    0.1h
 resources-777.txt               32     0     0    0.1h
 resources-90210.txt             32     0     0    0.1h
 storms.txt                      77     0     0    0.1h
 sweep.txt                       18     1     0    0.1h
 systems.txt                      3     0     0    0.0h
 teleconnection.txt              50     0     0    0.1h
 telling-12345.txt               12     0     0    0.1h
 terrain-12345.txt               76     0     0    0.1h
 terrain-777.txt                 75     1     0    0.1h
 terrain-90210.txt               76     0     0    0.1h
 tropics.txt                     67     0     0    0.1h
 wasm-audit.txt                   2     0     0       -
 wasm.txt                         0     1     0    0.0h
 TOTAL                         1271    33     0

 structural leg: seed 12345 · 3600 months · chunkings 240/120 vs 180
